Date,Text,Likes,Retweets,Replies,Views,Has Image,Has Video,Is Retweet,Is Reply,Hashtags,URL
6h,"WE WILL INTEGRATE PUMP-SDK",33,2,3,1600,false,false,false,false,"",https://x.com/nichxbt/status/2027140637305512347
6h,"it took me what felt like an hour to figure out how to claim for pump-sdk   what if you could just tell the chat to claim  it's that simple  pump-sdk MCP for natural language -> ai agent understanding",27,4,5,1900,false,false,false,false,"",https://x.com/nichxbt/status/2027140927450755376
6h,"second prompt to 1b person",2,0,1,202,true,true,false,false,"",https://x.com/intr3pico/status/2027139080643887360
6h,"allow me to cook check this out one sec",9,0,3,181,false,false,false,false,"",https://x.com/nichxbt/status/2027139178253914576
7h,"i am on the front page of pumpfun",51,3,18,2500,true,false,false,false,"",https://x.com/nichxbt/status/2027127396181365176
6h,"Oi looks like you made it……  I bet on yes ",8,0,1,90,true,false,false,false,"",https://x.com/JookCrypto/status/2027138617785594217
6h,"i aint finna go back to jail",5,0,1,85,false,false,false,false,"",https://x.com/nichxbt/status/2027138909042597960
6h,"wait you have me thinking   i have a telegram claim bot i was working on this morning  we will release it  it will get 100000 stars like openclaw  i will tell people to get into crypto (opposite of peter)  we win",21,5,3,1400,false,false,true,false,"",https://x.com/nichxbt/status/2027138682613047343
6h,"ngl there could be real fun use cases for this... but half the people here rn dont even know what a SDK is",3,0,1,661,false,false,false,false,"",https://x.com/intr3pico/status/2027138347060113520
6h,"75 days left",6900,481,679,388000,true,false,false,false,"",https://x.com/nikitabier/status/2027136408624980400
6h,"hey",3,0,0,223,false,false,false,false,"",https://x.com/nichxbt/status/2027137129789509838
7h,"are token locks still a thing like ive been building   lets run this properly   for the trenches. we need it",56,7,10,3200,false,false,true,false,"",https://x.com/nichxbt/status/2027126131250643230
6h,"Will you be on the front page of  @blastmarket_  ?",5,0,1,116,false,false,false,false,"",https://x.com/JookCrypto/status/2027136537901572243
6h,"sure",6,0,1,116,false,false,false,false,"",https://x.com/nichxbt/status/2027136658672664746
6h,"you little shits better listen here   aint no one telling me what to do. ill do this how i want",52,5,21,2200,false,false,false,false,"",https://x.com/nichxbt/status/2027135662533869901
6h,"What if I say please and thank you",2,0,1,246,false,false,false,false,"",https://x.com/perturpis/status/2027136073965662610
6h,"would u do some buy backs ?",0,0,1,94,false,false,false,false,"",https://x.com/perverthby/status/2027135346136232316
6h,"would you?",0,0,2,120,false,false,false,false,"",https://x.com/nichxbt/status/2027135442936889776
6h,"this is crazy but like how high is $PUMP again",18,0,6,1300,false,false,false,false,"",https://x.com/nichxbt/status/2027133712476025015
6h,"Heres your candle video",8,1,5,980,true,true,true,false,"",https://x.com/perturpis/status/2027133189412499473
6h,"aight i downloaded the app",18,2,7,1600,false,false,false,false,"",https://x.com/nichxbt/status/2027132224794157544
6h,"welcome",6,0,2,260,false,false,false,false,"",https://x.com/kayisagijr/status/2027132838043124055
6h,"i claimed",12,0,2,263,false,false,false,false,"",https://x.com/nichxbt/status/2027132997879914956
6h,"",58,2,18,5100,true,false,false,false,"",https://x.com/nichxbt/status/2027130459285782618
7h,"someone record this candle",27,0,9,1700,false,false,false,false,"",https://x.com/nichxbt/status/2027129573100634365
7h,"I don’t understand the hesitation of grabbing free money   Am I missing something?",2,0,1,372,false,false,false,false,"",https://x.com/fakespaceeeeee/status/2027129072573178251
7h,"i want a dev buy back candle larger than gake candle   nich candle now",9,0,1,343,false,false,false,false,"",https://x.com/nichxbt/status/2027129253524017449
7h,"@Ga__ke  nihao fine shyt",6,0,5,346,false,false,false,false,"",https://x.com/nichxbt/status/2027128149415497919
7h,"you has almost 4k$ claim it and buy it back",2,0,2,170,true,false,false,false,"",https://x.com/JVlogs1141906/status/2027128995104575797
7h,"is 100% buy back standard",5,0,2,130,false,false,false,false,"",https://x.com/nichxbt/status/2027129131935375390
7h,"easy bet",3,0,0,108,false,false,false,false,"",https://x.com/nichxbt/status/2027129075953991774
7h,"bro gonna milk this before claiming lol",1,0,2,175,false,false,false,false,"",https://x.com/dink_n_flicka/status/2027128542136275329
7h,"no legit if someone sends me a link i will",2,0,3,189,false,false,false,false,"",https://x.com/nichxbt/status/2027128802929996186
7h,"@a1lon9   @Pumpfun  i have a cook",22,4,5,2300,false,false,false,false,"",https://x.com/nichxbt/status/2027128544644743496
7h,"Is this eligible for hackathon",17,2,2,2600,false,false,true,false,"",https://x.com/lord_high_vol/status/2027128338054296056
7h,"wait",12,0,3,457,false,false,false,false,"",https://x.com/nichxbt/status/2027128448104407193
7h,"yo could u claim",1,0,1,123,false,false,false,false,"",https://x.com/Hiruzenaio/status/2027128199642030088
7h,"im trying they dont make it very user friendly yet they can improve",3,0,1,108,false,false,false,false,"",https://x.com/nichxbt/status/2027128396522938452
7h,"will do just claim brotato",4,0,2,277,false,false,false,false,"",https://x.com/Oskaras__/status/2027127584983523696
7h,"on it",7,0,2,174,false,false,false,false,"",https://x.com/nichxbt/status/2027127905772568618
7h,"claim and ur gonna be #1 on the page",4,0,1,418,false,false,false,false,"#1",https://x.com/Oskaras__/status/2027127487218495828
7h,"screenshot it when im number 1 please",6,0,2,415,false,false,false,false,"",https://x.com/nichxbt/status/2027127543296627102
7h,"Without a doubt yess",4,0,1,420,false,false,false,false,"",https://x.com/rodeoorat/status/2027126815777816885
7h,"i pushed $GCR for a year to 13m so like can we run this back turbo",19,3,3,805,false,false,false,false,"",https://x.com/nichxbt/status/2027127035232166242
7h,"transfering fees to his github, this deserves to send.  opensourcing the $pumpsdk will help the ecosystem thrive and get back together, good job  @nichxbt",33,7,27,8400,true,false,false,false,"",https://x.com/0xerxez/status/2027120124952498684
7h,"oh hey  @nichxbt",1,0,1,269,false,false,false,false,"",https://x.com/moginonsl/status/2027125536154145142
